"Tidsmerke","Hvilke elementer la du mest merke til når du vurderte bildene? ","Hvis annet, beskriv hva det var","Hva avslørte at et bilde var falskt? Velg alt som stemmer.  ","Hvis annet, beskriv hva som avslørte","Beskriv med egne ord hva du reagerte på i bildene.  ","Hvor vanskelig syntes du det var å skille ekte fra falske sedler?  "
"2026/05/06 1:54:53 p.m. EEST","Tekst og skrift","","Teksten så feil ut;Unaturlige farger;Uskarpe eller rare detaljer","","Teksten var i helt andre språk, noen ganger uleselig. Ansiktstrekkene varierte også litt","1"
"2026/05/06 2:07:55 p.m. EEST","Tekst og skrift","","Teksten så feil ut","","Nederst i midten så sto det enten veldig tydelig (""Franklin"" for ekte) eller (""blobgalob"" for falsk)","4"
"2026/05/06 3:09:48 p.m. EEST","Tekst og skrift","","Teksten så feil ut","","Så på teksten, om bokstavene er ekte og teksten gir mening. Men i starten viste jeg ikke hvordan en ekte seddel ser ut.","4"
"2026/05/06 3:29:38 p.m. EEST","Portrettet av Benjamin Franklin","portrett og så tekst etterhvert","Teksten så feil ut","teksten og bokstavene, feilskriving","Når det var skrevet feil eller ufullstendige bokstaver","2"
"2026/05/06 5:35:04 p.m. EEST","Tekst og skrift","","Teksten så feil ut;Unaturlige farger","","tekst","3"
"2026/05/06 5:58:59 p.m. EEST","Annet","Tok på magefølelse egentlig, så både på benjamin, tekst og bildekvalitet","Teksten så feil ut;Uskarpe eller rare detaljer;Portrettet så unaturlig ut","","Ordet THE var av og til feil, og munnen til bro var av og til rar.","4"
"2026/05/06 8:46:14 p.m. EEST","Tekst og skrift","","Teksten så feil ut;Portrettet så unaturlig ut","","Teksten var helt feil på AI genererte sedler. ","2"
"2026/05/06 9:12:26 p.m. EEST","Tekst og skrift","","Teksten så feil ut;Uskarpe eller rare detaljer;Portrettet så unaturlig ut","","Skrivefeil eller korrupt tekst var det som stort sett var lett å se det på.","2"
"2026/05/06 11:50:53 p.m. EEST","Tekst og skrift","","Teksten så feil ut;Unaturlige farger;Uskarpe eller rare detaljer;Portrettet så unaturlig ut","","$100 sedler er ikke noe man ser hver dag som gjorde meg usikker på om visse detaljer stemmer. Men det som avslørte bruk av generativt AI var hovedsaklig unnaturlig ansiktsutrykk, tekst og myk kontur på protrettet. Etter å ha sett flere eksempler ble jeg mer sikker på hva som var falsk og ekte, hvor forskjellen ble tydeligere spesielt når det kom til farger og små detaljer.","2"
"2026/05/07 4:12:39 p.m. EEST","Tekst og skrift","","Teksten så feil ut;Unaturlige farger;Uskarpe eller rare detaljer;Portrettet så unaturlig ut","","Tekst ga ikke mening, antok det kanskje var lagt på filter på ekte sedler slik at rare farger alene ikke kunne utelukke genererte sedler og portrettet så unaturlig ut. ","1"
"2026/05/08 8:39:07 a.m. EEST","Portrettet av Benjamin Franklin","","Unaturlige farger","","Rare farger
","4"
"2026/05/08 1:49:07 p.m. EEST","Portrettet av Benjamin Franklin","Tekst, tall, farger, bildekvalitet","Portrettet så unaturlig ut","","Ansiktet hans så annerledes ut, spesielt på hans høyre side på noen av bildene, i tillegg til at tallene på venstre side i gul var prikker på flere av dem, noe jeg synes var rart","3"
"2026/05/08 1:50:40 p.m. EEST","Sikkerhetselementer (stripe, vannmerke)","Tekst og skrift var også viktig","Teksten så feil ut;Uskarpe eller rare detaljer;Portrettet så unaturlig ut","","Portrettet var veldig rart på mange av de falske sedlene. Bokstav- og tallkombinasjonen oppe i venstre hjørne var ganske lett å skille på i noen av bildene.","2"
"2026/05/10 11:16:51 a.m. EEST","Tekst og skrift","","Teksten så feil ut;Uskarpe eller rare detaljer","","Vanskelig å skille mellom ekte og falsk der det ikke var skrivefeil. Gjør det ekstra vanskelig å skille da det er ukjent valuta som man ikke har brukt i det daglige. Noe som også påvirker er fargen som varier på ekte sedler også når det er tatt bilde av de. Det gikk noen bilder før man så noen feil. For min del var det fokus på skrift så det kan hende det var noen rare bilder av Benjamin jeg ikke registrerte engang.","4"
"2026/05/10 12:42:37 p.m. EEST","Tekst og skrift","","Teksten så feil ut;Unaturlige farger;Uskarpe eller rare detaljer;Portrettet så unaturlig ut","","Franklin sto feil på mange","2"
"2026/05/10 5:08:58 p.m. EEST","Tekst og skrift","Om det var svirler eller ""blurry"" elementer i bildet","Teksten så feil ut;Uskarpe eller rare detaljer","","De ekte bildene sine ord ga alle mening og hadde betydning","1"
"2026/05/10 11:20:02 p.m. EEST","Tekst og skrift","","Teksten så feil ut;Uskarpe eller rare detaljer","","Var litt vanskelig de første sedlene da jeg ikke helt visste hva jeg så etter. Så etterhvert at de falske sedlene var uskarpe med skrivefeil. ","2"
"2026/05/11 10:29:18 a.m. EEST","Tekst og skrift","","Teksten så feil ut;Unaturlige farger;Uskarpe eller rare detaljer;Portrettet så unaturlig ut;Annet","Skjevhet i tekst og bilder","Noen bilder var mer vanskelig å skille enn andre, men reagerte mest på tekst og bilder som ble til uklare detaljer. ","3"
"2026/05/11 6:18:13 p.m. EEST","Tekst og skrift","","Teksten så feil ut;Uskarpe eller rare detaljer","","Teksten var en klar indikator på ekte og falsk. Jeg hadde ikke sett på en 100$ note nøye før testen. Så de første forsøkene ble preget av at nok slapp igjennom som ikke burde ha sluppet igjennom. Men så fort jeg så hva som skulle stå på de ulike delene så var jeg fokusert på teksten","1"
"2026/05/11 11:41:02 p.m. EEST","Tekst og skrift","","Teksten så feil ut","","Jeg reagerte ganske fort på at teksten ofte var helt feil","2"
"2026/05/12 12:17:30 a.m. EEST","Tekst og skrift","La ikke merke til at teksten var buggy med det samme. Etter jeg la merke til teksten var det den jeg fokuserte på","Teksten så feil ut","","La ikke merke til at teksten var buggy med det samme. Etter jeg la merke til teksten var det den jeg fokuserte på","2"
